frame,time,u,v,X_world,Y_world,yaw_deg,area
92,3.069733333333333,2602.1399251800262,1463.7541587188928,1651.08014852753,537.0646465404384,119.3824303149689,11271.5
93,3.1031,2598.4286896633266,1473.5615264106882,1647.0619203803888,526.2896875294568,-119.89686828798975,11277.0
94,3.1364666666666667,2594.428199010251,1483.837251089902,1642.7305099721214,515.0001636015136,-119.98854940246595,11316.0
95,3.1698333333333335,2590.7373243919405,1493.0739737383606,1638.7343269726514,504.85214926569915,-121.37125459659262,11258.5
96,3.2032000000000003,2587.0907846375903,1501.8742318051277,1634.786146207872,495.18366094800285,-123.1233219586197,11200.5
97,3.2365666666666666,2582.5787425459816,1511.0846243766737,1629.900868932419,485.06457440488475,-124.02271456065331,11263.5
98,3.2699333333333334,2577.138548622474,1520.6990079452821,1624.0106632984782,474.501639260292,-125.10150102112732,11306.5
99,3.3033,2573.638028918655,1529.8570478133593,1620.2205813324547,464.4400705192711,-126.7522053542375,11273.0
100,3.336666666666667,2569.435366963054,1537.843926988878,1615.6702760535452,455.66520875754986,-127.16869795330828,11359.0
101,3.370033333333333,2564.1659285891756,1546.7935575335057,1609.9649508328018,445.83261092781163,-128.97056302045908,11403.5
102,3.4034,2559.291489988221,1556.1399587750293,1604.6872996840855,435.56409714894585,-130.5403681629726,11320.0
103,3.4367666666666667,2555.178378777802,1564.1725264169065,1600.2339527693832,426.73903931344034,-130.06506540599702,11277.5
104,3.4701333333333335,2549.4276916699973,1572.9219552634304,1594.0075700194864,417.1263950083162,-131.45133193201562,11258.5
105,3.5035000000000003,2542.727835143315,1581.905717761557,1586.753502753698,407.25629777899667,-132.52986359678528,11234.0
106,3.5368666666666666,2538.1669336180817,1590.2455211484842,1581.8153244024272,398.0936924319003,-133.83554626205668,11238.0
107,3.5702333333333334,2532.903575876179,1597.998947399632,1576.116582802273,389.57531597491516,-134.06984634032835,11242.0
108,3.6036,2525.9259242821004,1606.1879188673383,1568.5617413188618,380.5784235691733,-135.10129033686735,11265.5
109,3.636966666666667,2519.572290943609,1614.973183827237,1561.6825367514177,370.92640757280014,-135.77100562461257,11237.0
110,3.6703333333333332,2513.9187114522783,1622.7486059960654,1555.5612943398426,362.3838650889195,-137.6819039083572,11268.5
111,3.7037,2507.9432803950353,1630.890119667245,1549.0915768677303,353.4391126485991,-138.2566003411621,11239.5
112,3.7370666666666668,2501.1398074383965,1639.0172088952186,1541.7253220424393,344.51020776179007,-139.76544915394382,11234.5
113,3.7704333333333335,2495.0971677947987,1646.98239520247,1535.1828365036802,335.7591790788067,-140.23816484008478,11228.0
114,3.8038,2488.416339519391,1654.643171544135,1527.949371502156,327.3425933375795,-140.71148477937214,11208.0
115,3.8371666666666666,2480.1070670171216,1662.9927829999554,1518.9527577058486,318.1692122610905,-142.63322588746428,11223.5
116,3.8705333333333334,2473.2003718363917,1670.8565881012353,1511.474742135548,309.5295670168805,-142.5982286887575,11116.0
117,3.9039,2465.9303034377663,1678.2519833266101,1503.603295190306,301.4045447960775,-144.5609108158136,11155.5
118,3.937266666666667,2457.9682831636087,1685.7766064031819,1494.9826582542325,293.137545151415,-145.97231623811152,11145.5
119,3.9706333333333332,2450.547161336687,1692.8350101808599,1486.9476627725069,285.3827618316195,-147.14915061037266,11132.0
